setting,dataset,model,condition,method,N,before_acc,after_acc,delta,recovered,recovery_den,recovery_rate,recovery_ci_exact,regressed,regression_den,regression_rate,regression_ci_exact,stayed_correct,stayed_wrong,structural_clearance,joint_full_repair,new_failure_rate,em_before,em_after,f1_before,f1_after,latency_mean_ms,latency_median_ms,tokens_mean
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D,b2,107,0.11214953271028037,0.2336448598130841,0.12149532710280374,20,95,0.21052631578947367,"[0.1335932546915837, 0.3062423556894617]",7,12,0.5833333333333334,"[0.2766696856821058, 0.8483477701915698]",5,75,0.0,0.0,0.0,0.102803738317757,0.205607476635514,0.13729417000445038,0.24299065420560748,760.3177570093458,729.0,1592.0467289719627
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D,b3,107,0.11214953271028037,0.17757009345794392,0.06542056074766354,7,95,0.07368421052631578,"[0.030137218909825812, 0.14593984923312603]",0,12,0.0,"[0.0, 0.2646484693970512]",12,88,0.0,0.0,0.0,0.102803738317757,0.14018691588785046,0.13729417000445038,0.18184245660881174,3740.121495327103,2651.0,373.94392523364485
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D,b0,107,0.11214953271028037,0.11214953271028037,0.0,0,95,0.0,,0,12,0.0,,,,0.0,0.0,0.0,,,,,,,
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_L,fixed,108,0.4074074074074074,0.7870370370370371,0.37962962962962965,47,64,0.734375,"[0.6091238708465889, 0.8370239485314892]",6,44,0.13636363636363635,"[0.05173082948627347, 0.27350689090382385]",38,17,0.7685185185185185,0.6574074074074074,0.0,0.37037037037037035,0.6944444444444444,0.38580246913580246,0.7335390946502058,845.7592592592592,817.0,1923.5648148148148
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_L,reverse,108,0.4074074074074074,0.7314814814814815,0.32407407407407407,42,64,0.65625,"[0.5269769612216835, 0.770536757500661]",7,44,0.1590909090909091,"[0.0664434612028956, 0.3006532137716878]",37,22,0.5648148148148148,0.49074074074074076,0.0,0.37037037037037035,0.6296296296296297,0.38580246913580246,0.6724279835390946,842.4629629629629,813.5,1925.1574074074074
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_L,b2,108,0.4074074074074074,0.28703703703703703,-0.12037037037037036,22,64,0.34375,"[0.22946324249933894, 0.4730230387783165]",35,44,0.7954545454545454,"[0.6469549432217505, 0.9019568236394089]",9,42,0.0,0.0,0.0,0.37037037037037035,0.24074074074074073,0.38580246913580246,0.2654320987654321,760.2777777777778,757.0,1645.638888888889
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_L,b3,108,0.4074074074074074,0.6018518518518519,0.19444444444444445,29,64,0.453125,"[0.32820711450371803, 0.5825236846839525]",8,44,0.18181818181818182,"[0.08191884088070353, 0.3271368502462458]",36,35,0.0,0.0,0.0,0.37037037037037035,0.5092592592592593,0.38580246913580246,0.5446502057613168,4572.898148148148,3813.5,1655.7222222222222
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_L,b0,108,0.4074074074074074,0.4074074074074074,0.0,0,64,0.0,,0,44,0.0,,,,0.0,0.0,0.0,,,,,,,
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,D_L,fixed,108,0.18518518518518517,0.5925925925925926,0.4074074074074074,45,88,0.5113636363636364,"[0.4024560788041746, 0.6194848118188332]",1,20,0.05,"[0.0012650894979498038, 0.24873276277202777]",19,43,0.5,0.4166666666666667,0.0,0.1574074074074074,0.5277777777777778,0.1915784832451499,0.5705687830687831,889.1666666666666,824.5,1854.4814814814815
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,D_L,reverse,108,0.18518518518518517,0.6111111111111112,0.42592592592592593,47,88,0.5340909090909091,"[0.4246068833178016, 0.6412154866902768]",1,20,0.05,"[0.0012650894979498038, 0.24873276277202777]",19,41,0.5185185185185185,0.4537037037037037,0.0,0.1574074074074074,0.5555555555555556,0.1915784832451499,0.5853835978835978,819.074074074074,816.5,1868.9074074074074
