comparison,setting,condition,N,A_method,B_method,A_acc,B_acc,delta,delta_ci,both_correct,A_only_correct,B_only_correct,both_wrong,mcnemar_p,holm_p
Fixed_vs_B3,Hotpot-Llama,D_L,101,fixed,b3,0.8217821782178217,0.7425742574257426,0.07920792079207917,"[-0.009900990099009901, 0.16831683168316833]",68,15,7,11,0.13380050659179688,0.13380050659179688
Fixed_vs_Reverse,Hotpot-Llama,D_L,99,fixed,reverse,0.8181818181818182,0.797979797979798,0.02020202020202022,"[-0.050505050505050504, 0.09090909090909091]",74,7,5,13,0.7744140625,1.0
Fixed_vs_B0,Hotpot-Llama,M_D_L,104,fixed,b0,0.7692307692307693,0.33653846153846156,0.4326923076923077,"[0.33653846153846156, 0.5288461538461539]",34,46,1,23,6.821210263296962e-13,6.139089236967266e-12
Fixed_vs_B2,Hotpot-Llama,M_D_L,104,fixed,b2,0.7692307692307693,0.33653846153846156,0.4326923076923077,"[0.3173076923076923, 0.5480769230769231]",29,51,6,18,5.676193126635808e-10,4.540954501308646e-09
Fixed_vs_B3,Hotpot-Llama,M_D_L,104,fixed,b3,0.7692307692307693,0.47115384615384615,0.29807692307692313,"[0.18269230769230768, 0.40408653846153497]",42,38,7,17,3.1213096463034162e-06,2.1849167524123914e-05
Fixed_vs_Reverse,Hotpot-Llama,M_D_L,99,fixed,reverse,0.797979797979798,0.7676767676767676,0.030303030303030387,"[-0.030303030303030304, 0.09090909090909091]",73,6,3,17,0.5078125,1.0
Fixed_vs_B0,Hotpot-Qwen,M_D,108,fixed,b0,0.8981481481481481,0.25,0.6481481481481481,"[0.5555555555555556, 0.7407407407407407]",27,70,0,11,1.6940658945086007e-21,2.710505431213761e-20
Fixed_vs_B2,Hotpot-Qwen,M_D,108,fixed,b2,0.8981481481481481,0.3888888888888889,0.5092592592592593,"[0.4074074074074074, 0.6111111111111112]",39,58,3,8,3.2857397358476703e-14,4.2714616566019714e-13
Fixed_vs_B3,Hotpot-Qwen,M_D,108,fixed,b3,0.8981481481481481,0.28703703703703703,0.6111111111111112,"[0.5185185185185185, 0.7037037037037037]",31,66,0,11,2.710505431213761e-20,4.336808689942018e-19
Fixed_vs_Reverse,Hotpot-Qwen,M_D,108,fixed,reverse,0.8981481481481481,0.7129629629629629,0.18518518518518523,"[0.1111111111111111, 0.26851851851851855]",76,21,1,10,1.0967254638671875e-05,0.00016450881958007812
Fixed_vs_B0,Hotpot-Qwen,M_L,108,fixed,b0,0.8981481481481481,0.5370370370370371,0.36111111111111105,"[0.25925925925925924, 0.46296296296296297]",54,43,4,7,2.781192165457469e-09,1.1124768661829876e-08
Fixed_vs_B2,Hotpot-Qwen,M_L,108,fixed,b2,0.8981481481481481,0.39814814814814814,0.5,"[0.4074074074074074, 0.5925925925925926]",42,55,1,10,1.582067810090848e-15,2.531308496145357e-14
Fixed_vs_B3,Hotpot-Qwen,M_L,108,fixed,b3,0.8981481481481481,0.7314814814814815,0.16666666666666663,"[0.09259259259259259, 0.25]",77,20,2,9,0.00012111663818359375,0.0007266998291015625
Fixed_vs_Reverse,Hotpot-Qwen,M_L,108,fixed,reverse,0.8981481481481481,0.8796296296296297,0.01851851851851849,"[0.0, 0.046296296296296294]",95,2,0,11,0.5,1.0
Fixed_vs_B0,Hotpot-Qwen,D_L,108,fixed,b0,0.8703703703703703,0.3425925925925926,0.5277777777777777,"[0.4351851851851852, 0.6203703703703703]",37,57,0,14,1.3877787807814457e-17,1.942890293094024e-16
Fixed_vs_B2,Hotpot-Qwen,D_L,108,fixed,b2,0.8703703703703703,0.4444444444444444,0.42592592592592593,"[0.3148148148148148, 0.5370370370370371]",43,51,5,9,1.170292474039769e-10,1.0532632266357922e-09
Fixed_vs_B3,Hotpot-Qwen,D_L,108,fixed,b3,0.8703703703703703,0.4351851851851852,0.4351851851851852,"[0.3425925925925926, 0.5277777777777778]",47,47,0,14,1.4210854715202004e-14,1.9895196601282805e-13
Fixed_vs_Reverse,Hotpot-Qwen,D_L,108,fixed,reverse,0.8703703703703703,0.8703703703703703,0.0,"[-0.037037037037037035, 0.037037037037037035]",92,2,2,12,1.0,1.0
Fixed_vs_B0,Hotpot-Qwen,M_D_L,108,fixed,b0,0.8148148148148148,0.19444444444444445,0.6203703703703703,"[0.5277777777777778, 0.7129629629629629]",21,67,0,20,1.3552527156068805e-20,2.0328790734103208e-19
Fixed_vs_B2,Hotpot-Qwen,M_D_L,108,fixed,b2,0.8148148148148148,0.28703703703703703,0.5277777777777777,"[0.42592592592592593, 0.6296296296296297]",29,59,2,18,1.6410484082740595e-15,2.531308496145357e-14
Fixed_vs_B3,Hotpot-Qwen,M_D_L,108,fixed,b3,0.8148148148148148,0.2962962962962963,0.5185185185185185,"[0.4166666666666667, 0.6203703703703703]",31,57,1,19,4.0939474033052647e-16,6.140921104957897e-15
Fixed_vs_Reverse,Hotpot-Qwen,M_D_L,108,fixed,reverse,0.8148148148148148,0.7962962962962963,0.01851851851851849,"[-0.027777777777777776, 0.07407407407407407]",83,5,3,17,0.7265625,1.0
